club,last_name,first_name,position,base_salary,guaranteed_compensation,year
CHI,Armas,Chris,M,225000.0,225000.0,2007
CHI,Banner,Michael,M,12900.0,12900.0,2007
CHI,Barrett,Chad,F,41212.5,48712.5,2007
CHI,Blanco,Cuauhtemoc,F,2492316.0,2666778.0,2007
CHI,Brown,C.J.,D,106391.0,106391.0,2007
CHI,Busch,Jon,GK,58008.0,58008.0,2007
CHI,Carr,Calen,F,38000.0,50500.0,2007
CHI,Conde,Wilman,D,144000.0,151500.0,2007
CHI,Correa,Thiago,M,44100.0,44100.0,2007
CHI,Curtin,Jeff,D,12900.0,12900.0,2007
CHI,Curtin,Jim,D,120750.0,120750.0,2007
CHI,Franks,Floyd,M,17700.0,17700.0,2007
CHI,Guerrero,Ivan,D-M,160000.0,187500.0,2007
CHI,Gutierrez,Diego,M,126500.0,126500.0,2007
CHI,Mapp,Justin,M,130000.0,136000.0,2007
CHI,Marques,Bruno,M,12900.0,12900.0,2007
CHI,Monteiro,Jerson,F,17700.0,17700.0,2007
CHI,Noble,Nick,GK,12900.0,12900.0,2007
CHI,Pause,Logan,M,69300.0,69300.0,2007
CHI,Pickens,Matt,GK,32340.0,32340.0,2007
CHI,Plotkin,Brian,M,30000.0,30000.0,2007
CHI,Robinson,Dasan,D,42500.0,42500.0,2007
CHI,Rolfe,Chris,F,70000.0,74700.0,2007
CHI,Russolillo,Jordan,D,12900.0,12900.0,2007
CHI,Segares,Gonzalo,D,48300.0,50800.0,2007
CHI,Soumare,Bakary,D,45000.0,78000.0,2007
CHI,Telesford,Osei,D,36000.0,36625.0,2007
CHI,Wanchope,Paulo,F,240000.0,267500.0,2007
CHI,Woolard,Daniel,D,12900.0,12900.0,2007
CHV,Arvizu,David,F,33000.0,40500.0,2007
CHV,Bornstein,Jonathan,D,57500.0,57500.0,2007
CHV,Brooks,Desmond,D,12900.0,12900.0,2007
CHV,Burling,Bobby,F-D,12900.0,12900.0,2007
CHV,Burpo,Preston,GK,52491.6,52491.6,2007
CHV,Cunliffe,John,F,30000.0,45000.0,2007
CHV,Flores,Jorge,M,12900.0,13275.0,2007
CHV,Galindo,Maykel,F,72500.0,72500.0,2007
CHV,Guzan,Brad,GK,52237.5,67237.5,2007
